"source_id","author_year","title","final_tier","prompt_to_use","output_folder","output_filename","priority","reason","blocked_yes_no","blocker","notes"
"bloemenModelLabourSupply2000","Bloemen 2000","A Model of Labour Supply with Job Offer Restrictions","T1A","JMP_T1_exhaustive_extraction_prompt_v2.md","JMP_literature/03_summaries/T1A/","Bloemen_2000_job_offer_restrictions.md","1","New T1A. Core load-bearing sections are s5 (opportunity mechanism / wage-hours offer model) and s8 (identification). Must precede INDEX 02 and INDEX 06 edits. Required before literature-skeleton drafting.","no","none - PDF present in Literature/; confirm bib path before bibliography/index updates","Cite for: restricted wage-hours offer model; constrained-choice-set motivation. Do NOT cite for welfare decomposition W1-W6 or proposal correction."
"bloemenJobSearchHours2008","Bloemen 2008","Job Search, Hours Restrictions, and Desired Hours of Work","T1A","JMP_T1_exhaustive_extraction_prompt_v2.md","JMP_literature/03_summaries/T1A/","Bloemen_2008_job_search_hours.md","2","New T1A. Core load-bearing sections are s5 (mechanism of hours-and-wage offers; hours-offer distributions) and s8 (empirical search identification). Must precede INDEX 02 and INDEX 06 edits. Required before literature-skeleton drafting.","no","none - PDF present in Literature/; confirm bib path before bibliography/index updates","Cite for: joint wage-and-hours offer model; precursor to RURO opportunity-density reasoning. Do NOT cite for welfare or proposal correction."
"cameronMillerClusterRobust2015","Cameron & Miller 2015","A Practitioner's Guide to Cluster-Robust Inference","T2","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Cameron_Miller_2015_cluster_robust.md","3","New T2. Closes the documented INDEX 07 gap where the cluster-robust bootstrap plan had no published anchor. Sections 0-1-2-8 carry the load (metadata; inference justification; bootstrap implementation). Required before INDEX 07 Bootstrap update.","no","none - PDF present in Literature/; create bib entry before bibliography/index updates","Cite for: cluster-robust variance justification; cluster bootstrap for household-clustered data. Do NOT over-extend to welfare or decomposition."
"bloemenCollectiveHousehold2010","Bloemen 2010","An Empirical Model of Collective Household Labour Supply with Non-Participation","T1B","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T1B/","Bloemen_2010_collective_household.md","4","New T1B (trimmed T2-format summary is sufficient given contrast role). Load-bearing sections: s1 (unitary vs collective household); s5 (joint non-participation mechanism). Required before INDEX 06 Couples/Singles entry.","no","none - PDF present in Literature/; create bib entry before bibliography/index updates","Cite ONLY as: contrast of collective vs unitary household assumptions. Do NOT cite for opportunity density welfare object or sampling. Use T2-format prompt but place output in T1B/."
"lofflerStructuralLaborSupply2014","Loffler et al. 2014","Structural Labor Supply Models and Wage Exogeneity","T2","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Loffler_et_al_2014_wage_exogeneity.md","5","New T2. Closes the documented wage-exogeneity gap. Core sections: s4-s5 (wage-preference independence stress-test; identification vulnerability); s8 (inference implications). Required before INDEX 06 Wage-Offer Modelling entry.","no","none - PDF present in Literature/; confirm bib path before bibliography/index updates","Cite for: sensitivity of labor-supply and welfare estimates to wage-preference independence; ability-channel robustness motivation. Note 2018 published descendant (loefflerSensitivityStructuralLabor2018) also in corpus at T3."
"magnacRobinWageOffer2014","Magnac & Robin 2014 [verify]","[verify - see tier update CSV]","T2 (pending)","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Magnac_Robin_2014_wage_offer.md","6","Conditional. Required only if s9 verification passes. If confirmed: wage-offer-distribution estimation supporting ability channel in INDEX 06.","yes","VERIFICATION GATE: must pass JMP_DR03_verification_log_v1.md s9 check before any acquisition or summary; DR03 metadata internally inconsistent (two page ranges two title variants)","Do not summarize until verification clears. Existing wage-offer anchors sufficient in interim."
"dagsvikStromLocatelli2021","Dagsvik Strom & Locatelli 2021 [verify]","Marginal Compensated Effects in Discrete Labor Supply Models [verify]","T2 (pending)","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Dagsvik_Strom_Locatelli_2021_compensated_effects.md","7","Conditional. Required only if s9 verification passes. If confirmed: T2 for discrete-compensated-effects / welfare layer in INDEX 03.","yes","VERIFICATION GATE: must pass JMP_DR03_verification_log_v1.md s9 check first","Do not summarize until verification clears."
"sunLeungShapley2019","Sun & Leung 2019 [verify]","Accounting for Interactions in Shapley Decompositions [verify]","T2 (pending)","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Sun_Leung_2019_shapley_interactions.md","8","Conditional. Required only if s9 verification passes. Low urgency: existing anchors (Shorrocks 2013 + Audoly 2025) already support interaction claim.","yes","VERIFICATION GATE: must pass JMP_DR03_verification_log_v1.md s9 check first","Do not summarize until verification clears. Low urgency even if verified."
"credeGrammatikos2022","Crede / Grammatikos 2022 [verify]","Sampling Effects in Simulated Maximum Likelihood [verify]","T2 (pending)","JMP_T2_focused_extraction_prompt_v2.md","JMP_literature/03_summaries/T2/","Crede_Grammatikos_2022_sampling_SML.md","9","Conditional. Required only if s9 verification passes. If confirmed: ESS/simulation-error anchor in INDEX 07 replacing project notes.","yes","VERIFICATION GATE: must pass JMP_DR03_verification_log_v1.md s9 check first; author-name inconsistency is red flag","Do not summarize until verification clears. INDEX 07 project-notes anchor is acceptable interim."
"trainDiscreteChoice2009","Train 2009","Discrete Choice Methods with Simulation","T2 (optional)","no_summary_required","n/a","n/a","10","Optional. One-line textbook citation in INDEX 07 only; no summary required before skeleton.","no","none","No corpus PDF or summary required. Add one-line INDEX 07 citation for quasi-Monte Carlo and MSL language when INDEX 07 v2 is written."
