acquisition_rank,priority_bucket,bibkey,author_year,final_recommended_tier,JMP_component,where_pdf_is,zotero_files_path,blocks_extraction,blocks_first_batch,action,notes
1,1_essential_T1_no_portable_pdf,sastreShapleyInequalityDecomposition2002,Sastre & Trannoy 2002,T1A,decomposition,zotero_files,[verify in bib file= field],yes,no,copy PDF from Zotero files/ to Literature/ then run improve_md_extractions.py,"T1A decomposition methodology; bib entry exists with PDF in Zotero files/ per bibtex audit sec.6. Not in the first 12 (decomposition is Exercise B, deferred) but acquire early"
2,1_essential_T1_no_portable_pdf,shorrocksInequalityDecompositionFactor1982,Shorrocks 1982,T1A,decomposition,zotero_files,[verify in bib file= field],yes,no,copy PDF from Zotero files/ to Literature/ then extract,"T1A factor-decomposition foundation (Econometrica); bibtex audit sec.6 lists it essential-no-PDF-in-Literature. Pairs with Shorrocks 2013 (already in Literature/)"
3,2_essential_pdf_in_zotero_not_literature,kabatekIncomeTaxationLabour2014,Kabatek et al. 2014,T2,model;data-infrastructure,zotero_files,[verify in bib file= field],yes,no,copy PDF to Literature/ then extract,"France couples discrete-choice baseline; closest French empirical comparator; high practical value despite T2"
4,2_essential_pdf_in_zotero_not_literature,bosmansFailureCompensateFailure2025,Bosmans et al. 2025,T2,decomposition;normative-interpretation,zotero_files,[verify in bib file= field],yes,no,copy PDF to Literature/ then extract,"compensation-vs-reward decomposition; conceptually close to W1-W6 duality"
5,2_essential_pdf_in_zotero_not_literature,peichlAccountingSpouseWhen2016,Peichl & Ungerer 2016,T2,decomposition,zotero_files,[verify in bib file= field],yes,no,copy PDF to Literature/ then extract,"household/spousal IOp; relevant to couples-unit gender attribution"
6,2_essential_pdf_in_zotero_not_literature,hufeMeasuringUnfairInequality2022,Hufe et al. 2022,T2,decomposition;normative-interpretation,zotero_files,"[verify] duplicate file paths files/1126, files/1383",yes,no,copy ONE PDF to Literature/ then extract,"unfair-vs-fair inequality (ReStud); bib has duplicate file paths -- pick one"
7,2_essential_pdf_in_zotero_not_literature,mahlerEqualityOpportunityFour2019,Mahler & Ramos 2019,T2,decomposition,zotero_files,[verify in bib file= field],yes,no,copy PDF to Literature/ then extract,"multi-dimensional EOp; SOEP"
8,2_essential_pdf_in_zotero_not_literature,vandegaerMeasurementInequalityOpportunity2020,Van de gaer & Ramos 2020,T2,decomposition,zotero_files,[verify in bib file= field],yes,no,copy PDF to Literature/ then extract,"counterfactual IOp logic; verify DOI; verify 'Van de gaer' lowercase-d in bib"
9,2_essential_pdf_in_zotero_not_literature,decosterEmpiricalWelfareAnalysis2015,Decoster & Haan 2015,T2,welfare,zotero_files,files/187,yes,no,copy PDF to Literature/ then extract,"Fleurbaey-style welfare from structural LS; close welfare-method comparator"
10,3_gapcheck_addition_no_pdf_or_md,caloBlancoGarciaPerez2014,Calo-Blanco & Garcia-Perez 2014,DEFER,decomposition;normative-interpretation,none,none,yes,no,source PDF externally; replace WelfareLossCaused stub with full bib; then extract if re-tiered above DEFER,"gap-check 'essential' but DEFER for baseline; only a bare ProQuest stub exists; needs full bib entry (J Econ Inequality 2014)"
