row_id,repo_tree,old_path,new_path,move_executed,register_archive_path,live_exact_path_references,halt_reason,status
273,MNL,docs/France_case/P2a/FR_P2a_region_live_phase3_code_review_v4.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
299,MNL,docs/France_case/P2a/FR_P2a_region_live_phase4_remediation_report_v2.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
300,MNL,docs/France_case/P2a/FR_P2a_region_live_phase4_remediation_report_v3.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
301,MNL,docs/France_case/P2a/FR_P2a_region_live_phase4_remediation_report_v4.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
302,MNL,docs/France_case/P2a/FR_P2a_region_live_phase4_remediation_report_v5.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
307,MNL,docs/France_case/P2a/FR_P2a_region_live_phase5_code_review_v4.md,,False,N/A,Job_Market_paper/docs/prompts/JMP_M05B_closed_form_code_review_v4_prompt_v1.md,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv | B2: 1 live exact-path reference(s) remain, which falsifies the ARCHIVE_MOVABLE predicate ""not referenced by a current manifest/pointer/contract/manuscript/live review""",HALTED_AWAITING_DEPUTY
310,MNL,docs/France_case/P2a/FR_P2a_region_live_phase5_inference_design_v2.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
311,MNL,docs/France_case/P2a/FR_P2a_region_live_phase5_inference_design_v3.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
318,MNL,docs/France_case/P2a/FR_P2a_region_live_phase5_remediation_report_v2.md,,False,N/A,,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv",HALTED_AWAITING_DEPUTY
327,MNL,docs/France_case/P2a/FR_P2a_streaming_incrementA_review_v2.md,,False,N/A,Job_Market_paper/docs/prompts/JMP_M05C_incrementA_review_v2_prompt_v1.md,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv | B2: 1 live exact-path reference(s) remain, which falsifies the ARCHIVE_MOVABLE predicate ""not referenced by a current manifest/pointer/contract/manuscript/live review""",HALTED_AWAITING_DEPUTY
547,MNL,docs/jmp_methodology/RURO_welfare_scaffold_design_contract_v1.md,,False,N/A,MNL/Prompts/welfare/Prompt1.txt; MNL/Prompts/welfare/Prompt2.txt,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv | B2: 2 live exact-path reference(s) remain, which falsifies the ARCHIVE_MOVABLE predicate ""not referenced by a current manifest/pointer/contract/manuscript/live review""",HALTED_AWAITING_DEPUTY
564,MNL,docs/jmp_methodology/RURO_welfare_stage2_vdir_crosscheck_v1.md,,False,N/A,MNL/Prompts/welfare/Prompt4.txt; MNL/Prompts/welfare/Prompt5.txt,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv | B2: 2 live exact-path reference(s) remain, which falsifies the ARCHIVE_MOVABLE predicate ""not referenced by a current manifest/pointer/contract/manuscript/live review""",HALTED_AWAITING_DEPUTY
1663,MNL,Results/P3a/pooled_P3a/JMP_pooled_P3a_estimation_report_v1.md,,False,N/A,MNL/Results/P3a/pooled_P3a/JMP_pooled_P3a_estimation_report_v2.md,"B1: register v4 (and v3) carry archive_path=""N/A"" for every ARCHIVE_MOVABLE row - no ratified destination exists, and the external archive root is outside the repo so it cannot serve a git mv | B2: 1 live exact-path reference(s) remain, which falsifies the ARCHIVE_MOVABLE predicate ""not referenced by a current manifest/pointer/contract/manuscript/live review""",HALTED_AWAITING_DEPUTY
