"source_id","author_year","title","current_status","DR03_recommended_tier","assimilation_decision","final_tier","JMP_component","reason","action_required","verification_status","notes"
"bloemenModelLabourSupply2000","Bloemen 2000","A Model of Labour Supply with Job Offer Restrictions","T3 in tiers_expanded_v1; not yet summarized","T1A (DR03 s5)","ACCEPT - tier promotion authorized","T1A","Latent Jobs; Constrained Choice Sets; Opportunity Density; Access channel","Closest published antecedent to JMP opportunity layer: defines feasible jobs as restricted wage-hours offers. Sits on latent-jobs identification spine. Bibkey already in base bib.","Promote in tiers_expanded (T3->T1A); PDF present in Literature/; produce full T1 summary","verified - standard Labour Economics paper; bibkey bloemenModelLabourSupply2000 in base bib","Cite for: restricted wage-hours offer model; constrained-choice-set motivation. Do NOT cite for welfare decomposition or W1-W6."
"bloemenJobSearchHours2008","Bloemen 2008","Job Search, Hours Restrictions, and Desired Hours of Work","T3 in tiers_expanded_v1; not yet summarized","T1A (DR03 s5)","ACCEPT - tier promotion authorized","T1A","Latent Jobs; Random Opportunities; Opportunity Density; Access channel","Rigorous search model with joint wage-and-hours offers; direct precursor to RURO opportunity-density reasoning. Bibkey already in base bib.","Promote in tiers_expanded (T3->T1A); PDF present in Literature/; produce full T1 summary","verified - standard Journal of Labor Economics paper; bibkey bloemenJobSearchHours2008 in base bib","Cite for: mechanism of hours-and-wage offers; hours-offer distributions; empirical search identification. Do NOT cite for welfare or proposal correction."
"bloemenCollectiveHousehold2010","Bloemen 2010","An Empirical Model of Collective Household Labour Supply with Non-Participation","NOT in tiers_expanded_v1 (new addition)","T1A (DR03 - inflated)","ACCEPT AT T1B - DR03 over-promotes. JMP household unit is unitary; collective/bargaining is off-spine. T1B ceiling per memo s6.","T1B","Couples/Singles; Structural Labor Supply (contrast role)","Structural couples model with non-participation; more than background but collective/bargaining off JMP unitary-household design and off latent-jobs identification spine.","Add new entry to tiers_expanded; PDF present in Literature/; create bib entry; produce trimmed T2-format summary; add to INDEX 06 Couples/Singles as background collective-model contrast only","verified content source present locally; bib entry still needed","Cite ONLY as: contrast of collective vs unitary household assumptions. Do NOT cite for opportunity density welfare object sampling or integration."
"cameronMillerClusterRobust2015","Cameron & Miller 2015","A Practitioner's Guide to Cluster-Robust Inference","NOT in tiers_expanded_v1 (new addition)","T2 (DR03 s7)","ACCEPT - closes documented gap in INDEX 07 Bootstrap/Standard Errors","T2","Bootstrap; Standard Errors; Inference infrastructure","INDEX 07 currently lacks any published anchor for cluster-robust bootstrap beyond project notes. Cameron & Miller 2015 is the standard practical reference. Well-known and verifiable.","Add new entry to tiers_expanded; PDF present in Literature/; create bib entry; produce trimmed T2 summary; add to INDEX 07 Bootstrap section","verified content source present locally; bib entry still needed","Cite for: cluster-robust variance justification; cluster bootstrap for household-clustered data. Do NOT over-extend to welfare or decomposition claims."
"lofflerStructuralLaborSupply2014","Loffler et al. 2014","Structural Labor Supply Models and Wage Exogeneity","T3 in tiers_expanded_v1; not yet summarized","T2 (DR03 s7)","ACCEPT - tier promotion T3->T2; closes wage-exogeneity gap in INDEX 06","T2","Wage-Offer Modelling; RURO Estimation; Ability channel robustness","Directly stress-tests wage-preference independence assumption. Feeds ability-channel robustness argument. Bibkey already in base bib.","Promote in tiers_expanded (T3->T2); PDF present in Literature/; produce trimmed T2 summary; add to INDEX 06 Wage-Offer Modelling only","verified - IZA DP 8281; bibkey lofflerStructuralLaborSupply2014 in base bib","Cite for: sensitivity of labor-supply and welfare estimates to wage-preference independence; motivates ability-channel robustness check. Note: 2018 published descendant also in corpus at T3."
"magnacRobinWageOffer2014","Magnac & Robin 2014 [verify]","[verify - two title variants and two page-range variants in DR03]","NOT in tiers_expanded_v1","T2 conditional (DR03 s7)","CONDITIONAL ACCEPT - gated on verification. Do not enter bibliography or any index until s9 check clears.","T2 (pending)","Wage-Offer Modelling; Ability channel","DR03 internally inconsistent: gives JPE 122(5):500-536 in one place and 122(5):1007-1044 in another with two title variants. High fabrication/conflation risk.","Run s9 verification lookup (exact author list; title; journal; volume; pages; DOI); record in JMP_DR03_verification_log_v1.md; if confirmed add to tiers_expanded and acquire PDF; if not confirmed reject","UNVERIFIED - do not use","Do not enter bibliography or any index before verification. Existing wage-offer anchors (Dagsvik & Jia 2016; Capeau & Decoster 2016) sufficient in interim."
"dagsvikStromLocatelli2021","Dagsvik Strom & Locatelli 2021 [verify]","Marginal Compensated Effects in Discrete Labor Supply Models [verify]","NOT in tiers_expanded_v1","T2 conditional (DR03)","CONDITIONAL ACCEPT - gated on verification.","T2 (pending)","Welfare and Money-Metric; Discrete compensated effects","Plausibly real and on-topic (Journal of Choice Modelling 41:100326) but unverified per memo s9.","Run s9 verification (DOI; open-access availability; confirm content serves welfare layer); record in JMP_DR03_verification_log_v1.md","UNVERIFIED - do not use","If confirmed: T2 candidate for discrete Slutsky / compensated effects in welfare layer."
"sunLeungShapley2019","Sun & Leung 2019 [verify]","Accounting for Interactions in Shapley Decompositions [verify]","NOT in tiers_expanded_v1","T2 conditional (DR03)","CONDITIONAL ACCEPT - gated on verification. Low urgency.","T2 (pending)","Decomposition; Shapley interactions","If real: useful methodological cite for symmetric-interaction-allocation in INDEX 05. Existing anchors (Shorrocks 2013 + Audoly 2025) already support the claim.","Run s9 verification (existence; exact title; venue); record in JMP_DR03_verification_log_v1.md","UNVERIFIED - do not use","Existing anchors (Shorrocks 2013 + Audoly 2025) already support interaction claim. Low urgency even if verified."
"credeGrammatikos2022","Crede / Grammatikos 2022 [verify]","Sampling Effects in Simulated Maximum Likelihood [verify]","NOT in tiers_expanded_v1","T2 conditional (DR03)","CONDITIONAL ACCEPT - gated on verification. Author-name inconsistency (Crede/Creed) plus forthcoming status is red flag.","T2 (pending)","Inference; Simulation Error; ESS","If confirmed: supports ESS/simulation-error argument in INDEX 07. Until verified that argument stays on project notes.","Run s9 verification (existence; author name; publication status; Journal of Econometrics); record in JMP_DR03_verification_log_v1.md","UNVERIFIED - do not use","INDEX 07 current project-notes anchor is acceptable interim. Do not cite ESS argument to this source until verified."
"trainDiscreteChoice2009","Train 2009","Discrete Choice Methods with Simulation","NOT in tiers_expanded_v1 (optional addition)","T2/T3 optional (DR03 s7)","ACCEPT AS OPTIONAL - standard verifiable textbook. Not required before literature skeleton.","T2 (optional)","Inference; Simulation Error; Quasi-random integration","Standard MIT Press textbook; one genuinely useful item salvaged from DR03 s13. No PDF required (library access sufficient).","Add to tiers_expanded as optional T2; no PDF required; no full summary required - one-line textbook citation in INDEX 07 suffices","verified - standard textbook; no fabrication risk","Use for: simulation method language (quasi-Monte Carlo; MSL); background methods citation. Not a welfare or decomposition source."
